startup_name,description,funding_amount,industry,location,employees,website,founders,founder_emails,founder_linkedin,source,batch
Eduflow,"Eduflow is a free online platform to facilitate peer feedback sessions with students.


SaaSEdTech

**Quick facts:**

📍HQ: Copenhagen, Denmark


11-50 employeesFounded: 2015

**Funding:**

Y Combinator$2M Seed in 2017

**Take action:**

[See who works here 🤝](https://linkedin.com/company/peergrade-io)

[Check company site 📌](https://www.eduflow.com/?utm_source=topstartups.io)

[View Jobs](https://www.eduflow.com/careers?utm_source=topstartups.io)

[![Airfordable startup company logo](https://img",$2M,SaaS,"Copenhagen, Denmark",50,https://www.eduflow.com/,,,,topstartups.io,
Airfordable,"Payment plans for flights before your departure


TravelFinTech

**Quick facts:**

📍HQ: Chicago, Illinois, USA


1-10 employeesFounded: 2015

**Funding:**

Y CombinatorSeed in 2016

**Take action:**

[See who works here 🤝](https://linkedin.com/company/10168206)

[Read reviews ⭐](https://www.glassdoor.com/Salaries/customer-operations-associate-salary-SRCH_KO0,29.htm)

[Check company site 📌](http://www.airfordable.com/?utm_source=topstartups.io)

[View Jobs](https://www.airfordable.com/careers/?ut",,FinTech,"Chicago, Illinois, USA",10,http://www.airfordable.com/,,,,topstartups.io,
Vetcove,"Vetcove is the largest B2B veterinary marketplace, enabling veterinary hospitals to compare and buy supplies.


PetsMarketplacesHealthcare

**Quick facts:**

📍HQ: New York, New York, USA


11-50 employeesFounded: 2015

**Funding:**

Y Combinator$3M Seed in 2016

**Take action:**

[See who works here 🤝](https://linkedin.com/company/vetcove)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Vetcove-EI_IE4456059.11,18.htm)

[Check company site 📌](https://www.vetcove.com/?utm_source=to",$3M,Healthcare,"New York, New York, USA",50,https://www.vetcove.com/,,,,topstartups.io,
Emote Education,"Emote Education is a developer of school software that enables staff interaction with students.


EdTech

**Quick facts:**

📍HQ: California City, California, USA


1-10 employeesFounded: 2015

**Funding:**

Y Combinator$120K Seed in 2016

**Take action:**

[See who works here 🤝](https://linkedin.com/company/emote-education-inc.)

[Read reviews ⭐](https://www.glassdoor.com/Job/remote-education-consultant-jobs-SRCH_KO0,27.htm)

[Check company site 📌](http://emotenow.com/?utm_source=topstartups.io)",$120K,,"California City, California, USA",10,http://emotenow.com/,,,,topstartups.io,
Polymail,"Polymail is an email platform that helps teams collaborate, be more productive, and work better, together


CollaborationSaaSProductivity Software

**Quick facts:**

📍HQ: Los Angeles, California, USA


1-10 employeesFounded: 2015

**Funding:**

Y CombinatorSeed in 2016

**Take action:**

[See who works here 🤝](https://linkedin.com/company/polymail)

[Check company site 📌](http://polymail.io/?utm_source=topstartups.io)",,SaaS,"Los Angeles, California, USA",10,http://polymail.io/,,,,topstartups.io,
AMP Robotics,"Sort recyclable material at a fraction of the cost of current technology


Artificial IntelligenceSustainabilityHardware

**Quick facts:**

📍HQ: Boulder, Colorado, USA


101-200 employeesFounded: 2015

**Funding:**

Sequoia$91M Series C in 2022

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/amp-robotics/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-AMP-Robotics-EI_IE1754764.11,23.htm)

[Check company site 📌](http://amprobotics.com/?utm_source=topst",$91M,Artificial Intelligence,"Boulder, Colorado, USA",200,http://amprobotics.com/,,,,topstartups.io,
Fairwords,"Elevating company cultures by improving the nature and quality of written communications


Compliance Software Human Resources

**Quick facts:**

📍HQ: Boulder, Colorado, USA


11-50 employeesFounded: 2014

**Funding:**

Founders Fund$4M Series A in 2020

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/fairwordsai/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Honcho-EI_IE1463827.11,17.htm)

[Check company site 📌](https://fairwords.com/?utm_source=tops",$4M,,"Boulder, Colorado, USA",50,https://fairwords.com/,,,,topstartups.io,
Mistral AI,"Developing open-weight models that are on par with proprietary solutions


Artificial Intelligence

**Quick facts:**

📍HQ: Paris, France


11-50 employeesFounded: 2023

**Funding:**

Andreessen Horowitz$415M Series A in 2023$2.0B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/mistralai/)

[Check company site 📌](https://mistral.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.lever.co/mistral?utm_source=topstartups.io)

[![Selency startup company logo",$415M,Artificial Intelligence,"Paris, France",50,https://mistral.ai/,,,,topstartups.io,
Selency,"Selency is a community platform specialising in pre-owned furniture and decor items.


E-Commerce Home Decor

**Quick facts:**

📍HQ: Paris, France


51-100 employeesFounded: 2014

**Funding:**

Accel$35M Series C in 2022$154M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/brocante-lab)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Selency-EI_IE2327250.11,18.htm)

[Check company site 📌](https://www.selency.fr/?utm_source=topstartups.io)

[View J",$35M,E-Commerce,"Paris, France",100,https://www.selency.fr/,,,,topstartups.io,
Multis,"Building software to help Web3 companies manage finances


Crypto FinTech

**Quick facts:**

📍HQ: Paris, France


11-50 employeesFounded: 2019

**Funding:**

Sequoia Y Combinator$7M Series A in 2022

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/multishq/)

[Check company site 📌](https://multis.co/?utm_source=topstartups.io)

[View Jobs](https://multis.welcomekit.co/?utm_source=topstartups.io)

[![PayFit startup company logo](https://images.crunchbase.com/image/upload",$7M,FinTech,"Paris, France",50,https://multis.co/,,,,topstartups.io,
PayFit,"Payfit allows small and medium enterprises to easily and quickly pay their employees.


Employee BenefitsSaaSHuman ResourcesFinTech

**Quick facts:**

📍HQ: Paris, France


501-1000 employeesFounded: 2015

**Funding:**

Accel$290M Series F in 2022$2.1B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/payfit)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-PayFit-EI_IE1593399.11,17.htm)

[Check company site 📌](http://www.payfit.com/?utm_source=topsta",$290M,"FinTech, SaaS","Paris, France",1000,http://www.payfit.com/,,,,topstartups.io,
Lydia,"Manage all your money easily, with a single app, without having to leave your bank.


FinTech Apps

**Quick facts:**

📍HQ: Paris, France


201-500 employeesFounded: 2011

**Funding:**

Accel$103M Series C in 2021$1.0B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/lydia)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Lydia-France-EI_IE2384121.11,23.htm)

[Check company site 📌](http://lydia-app.com/?utm_source=topstartups.io)

[View Jobs](https:/",$103M,FinTech,"Paris, France",500,http://lydia-app.com/,,,,topstartups.io,
Shift Technology,"Shift Technology provides AI-driven decision automation and optimization for the global insurance industry.


Artificial IntelligenceInsuranceFraud Detection

**Quick facts:**

📍HQ: Paris, France


201-500 employeesFounded: 2014

**Funding:**

BessemerAccel$220M Series D in 2021$1.0B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/shift-technology)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Shift-Technology-EI_IE1369971.11,27.htm)

[Check com",$220M,Artificial Intelligence,"Paris, France",500,http://www.shift-technology.com/,,,,topstartups.io,
Folk,"We're reinventing contact management for teams and individuals


SaaSProductivity SoftwareContact

**Quick facts:**

📍HQ: Paris, France


11-50 employeesFounded: 2019

**Funding:**

Accel$3M Seed in 2021

**Take action:**

[See who works here 🤝](https://linkedin.com/company/folkhq)

[Check company site 📌](http://www.folk.app/?utm_source=topstartups.io)

[View Jobs](https://work.folk.app/?utm_source=topstartups.io)

[![Station startup company logo](https://img-cdn.tnwcdn.com/image?url=https%3A%2F",$3M,SaaS,"Paris, France",50,http://www.folk.app/,,,,topstartups.io,
Station,"Station unifies all your work tools in one neat & productive interface.


Enterprise SoftwareProductivity

**Quick facts:**

📍HQ: Paris, France


11-50 employeesFounded: 2017

**Funding:**

Accel$1M Seed in 2021

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/getstation)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Station-EI_IE1374138.11,18.htm)

[Check company site 📌](http://getstation.com/?utm_source=topstartups.io)

[![Sorare startup company logo",$1M,Enterprise Software,"Paris, France",50,http://getstation.com/,,,,topstartups.io,
Sorare,"Sorare is a global fantasy football game where players can buy, trade, and play with official digital cards.


Fantasy SportsGamingCrypto

**Quick facts:**

📍HQ: Paris, France


51-100 employeesFounded: 2018

**Funding:**

Accel Benchmark$680M Series B in 2021$4.3B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/sorare)

[Check company site 📌](https://sorare.com/?utm_source=topstartups.io)

[View Jobs](https://sorare.com/careers?utm_source=topstartups.io)

[!",$680M,,"Paris, France",100,https://sorare.com/,,,,topstartups.io,
Slite,"The note app for teams


SaaSProductivity Software

**Quick facts:**

📍HQ: Paris, France


11-50 employeesFounded: 2016

**Funding:**

Y CombinatorRaised $15M in 2020

**Take action:**

[See who works here 🤝](https://linkedin.com/company/slite)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Slite-EI_IE2148163.11,16.htm)

[Check company site 📌](http://slite.com/?utm_source=topstartups.io)

[View Jobs](https://slite.bamboohr.com/careers/?utm_source=topstartups.io)

[![Luko startup",$15M,SaaS,"Paris, France",50,http://slite.com/,,,,topstartups.io,
Luko,"Luko is a neo-insurance company that provides home insurance and security technology.


FinTech Home Insurance

**Quick facts:**

📍HQ: Paris, France


101-200 employeesFounded: 2016

**Funding:**

Founders Fund Accel$60M Series B in 2020

**Take action:**

[See who works here 🤝](https://linkedin.com/company/luko)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Luko-France-EI_IE2281207.11,22.htm)

[Check company site 📌](http://getluko.com/?utm_source=topstartups.io)

[View Jobs](h",$60M,FinTech,"Paris, France",200,http://getluko.com/,,,,topstartups.io,
Eligo Bioscience,"Eligobiotics provides a new approach to explore, understand, and control bacterial ecosystems both in human and animals.


HealthcareBiotech

**Quick facts:**

📍HQ: Paris, France


11-50 employeesFounded: 2014

**Funding:**

Khosla Ventures$23M Series A in 2020

**Take action:**

[See who works here 🤝](https://linkedin.com/company/eligo-bioscience)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Eligo-Bioscience-EI_IE3059467.11,27.htm)

[Check company site 📌](http://www.eligo-bio",$23M,"Biotech, Healthcare","Paris, France",50,http://www.eligo-bioscience.com/,,,,topstartups.io,
Zenaton,"Zenaton is a SAAS solution to build and monitor world-class business processes through tasks orchestration.


SaaSDeveloper Tools

**Quick facts:**

📍HQ: Paris, France


1-10 employeesFounded: 2017

**Funding:**

Accel$2M Seed in 2018

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/zenaton)

[Check company site 📌](http://zenaton.com/?utm_source=topstartups.io)

[![BulldozAIR startup company logo](https://img-cdn.tnwcdn.com/image?url=https%3A%2F%2Fpbs.twimg.com%2Fprofil",$2M,SaaS,"Paris, France",10,http://zenaton.com/,,,,topstartups.io,
BulldozAIR,"BulldozAIR is a construction project management platform for real estate or industrial assets.


Enterprise SoftwareSaaSReal EstateConstruction

**Quick facts:**

📍HQ: Paris, France


11-50 employeesFounded: 2012

**Funding:**

Y CombinatorRaised $1M in 2016

**Take action:**

[See who works here 🤝](https://linkedin.com/company/bulldozair)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-BulldozAIR-EI_IE1522835.11,21.htm)

[Check company site 📌](http://www.bulldozair.com/?utm_sour",$1M,"Enterprise Software, SaaS","Paris, France",50,http://www.bulldozair.com/,,,,topstartups.io,
Tourlane,"Tourlane is a planning and booking platform helping travelers research and buy multi-day tours online


Travel

**Quick facts:**

📍HQ: Berlin, Germany


101-200 employeesFounded: 2016

**Funding:**

Sequoia$26M Series D in 2024$242M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/tourlane)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Tourlane-EI_IE1940193.11,19.htm)

[Check company site 📌](http://www.tourlane.de/?utm_source=topstartups.io)

[Vi",$26M,,"Berlin, Germany",200,http://www.tourlane.de/,,,,topstartups.io,
Rasa,"Rasa is the leading open source machine learning toolkit that lets developers build conversational bots.


Natural Language ProcessingArtificial Intelligence Enterprise Software

**Quick facts:**

📍HQ: Berlin, Germany


101-200 employeesFounded: 2016

**Funding:**

Andreessen HorowitzAccel$30M Series C in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/rasa./)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Rasa-Technologies-EI_IE1888472.11,28.htm)",$30M,"Enterprise Software, Artificial Intelligence","Berlin, Germany",200,http://rasa.com/,,,,topstartups.io,
Choco,"Choco provides a digital platform connecting restaurants and their suppliers in order to optimize the food supply chain.


Food & Drinks Supply Chain Restaurants

**Quick facts:**

📍HQ: Berlin, Germany


201-500 employeesFounded: 2018

**Funding:**

Bessemer$26M Series B in 2023$1.2B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/choco-app)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Choco-EI_IE3123979.11,16.htm)

[Check company site 📌](h",$26M,,"Berlin, Germany",500,http://www.choco.com/,,,,topstartups.io,
Matter Labs,"Accelerate the mass adoption of public blockchains


Crypto FinTech Blockchain

**Quick facts:**

📍HQ: Berlin, Germany


51-100 employeesFounded: 2019

**Funding:**

Andreessen Horowitz$200M Series C in 2022

**Take action:**

[See who works here 🤝](https://linkedin.com/company/matterlabs)

[Check company site 📌](http://matter-labs.io/?utm_source=topstartups.io)

[View Jobs](https://jobs.eu.lever.co/matterlabs?utm_source=topstartups.io)

[![Trade Republic startup company logo](https://images.cru",$200M,FinTech,"Berlin, Germany",100,http://matter-labs.io/,,,,topstartups.io,
Trade Republic,"Europe’s first commission-free mobile broker


FinTech

**Quick facts:**

📍HQ: Berlin, Germany


501-1000 employeesFounded: 2015

**Funding:**

SequoiaFounders Fund Accel$233M Series C in 2022$5.4B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/trade-republic)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Trade-Republic-EI_IE3554739.11,25.htm)

[Check company site 📌](http://traderepublic.com/?utm_source=topstartups.io)

[View Jobs](https://trad",$233M,FinTech,"Berlin, Germany",1000,http://traderepublic.com/,,,,topstartups.io,
Kitchenful,"Kitchenful offers personalized recommendations of recipes, and gets you ingredients delivered from your local supermarket.


E-CommerceDeliveryGroceries

**Quick facts:**

📍HQ: Berlin, Germany


11-50 employeesFounded: 2019

**Funding:**

Y Combinator$2M Series A in 2021

**Take action:**

[See who works here 🤝](https://linkedin.com/company/kitchenful)

[Check company site 📌](http://www.kitchenful.com/?utm_source=topstartups.io)

[![Inkitt startup company logo](https://images.crunchbase.com/imag",$2M,E-Commerce,"Berlin, Germany",50,http://www.kitchenful.com/,,,,topstartups.io,
Inkitt,"Inkitt is a digital publishing platform that predicts book success based on reader behavior.


MediaPublishingAnalytics

**Quick facts:**

📍HQ: Berlin, Germany


101-200 employeesFounded: 2013

**Funding:**

Kleiner Perkins$8M Series B in 2021$390M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/inkitt)

[Check company site 📌](http://www.inkitt.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.lever.co/inkitt/?utm_source=topstartups.io)

[![commercetools ",$8M,,"Berlin, Germany",200,http://www.inkitt.com/,,,,topstartups.io,
commercetools,"commercetools provides Commerce-as-a-Service. One Platform. One API. All Channels.


E-CommerceSaaSMarketingAPI

**Quick facts:**

📍HQ: Berlin, Germany


201-500 employeesFounded: 2006

**Funding:**

Accel$145M Series C in 2021$1.9B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/commercetools/)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/commercetools-Reviews-E1304424.htm)

[Check company site 📌](http://www.commercetools.com/de/?utm_source=topstartup",$145M,"E-Commerce, SaaS","Berlin, Germany",500,http://www.commercetools.com/de/,,,,topstartups.io,
Mambu,"Mambu is a SaaS banking engine provider that powers lending and deposit services.


SaaSFinTech

**Quick facts:**

📍HQ: Berlin, Germany


501-1000 employeesFounded: 2011

**Funding:**

Bessemer$266M Series E in 2021$5.5B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/mambu)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Mambu-EI_IE582721.11,16.htm)

[Check company site 📌](http://www.mambu.com/?utm_source=topstartups.io)

[View Jobs](https://care",$266M,"FinTech, SaaS","Berlin, Germany",1000,http://www.mambu.com/,,,,topstartups.io,
Contentful,"All your content, one API - The content management platform for web & mobile apps.


SaaS Content Develop Tools

**Quick facts:**

📍HQ: Berlin, Germany


501-1000 employeesFounded: 2011

**Funding:**

Benchmark$175M Series F in 2021$3.0B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/contentful/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Contentful-EI_IE1435539.11,21.htm)

[Check company site 📌](http://www.contentful.com/?utm_source=top",$175M,SaaS,"Berlin, Germany",1000,http://www.contentful.com/,,,,topstartups.io,
Cargo.one,"cargo.one is the digital platform for freight forwarders to search, compare and book air freight capacities across airlines.


LogisticsSupply Chain

**Quick facts:**

📍HQ: Berlin, Germany


51-100 employeesFounded: 2017

**Funding:**

Bessemer$42M Series B in 2020

**Take action:**

[See who works here 🤝](https://linkedin.com/company/cargoone)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/cargo-one-Reviews-E2371037.htm)

[Check company site 📌](http://www.cargo.one/?utm_source=topstartups.",$42M,,"Berlin, Germany",100,http://www.cargo.one/,,,,topstartups.io,
Omio,"Omio offers a search tool that compares and combines rail, air, bus, and car for destinations.


TravelSearch Engine

**Quick facts:**

📍HQ: Berlin, Germany


201-500 employeesFounded: 2012

**Funding:**

Kleiner PerkinsRaised $100M in 2020

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/omio)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Omio-EI_IE2855962.11,15.htm)

[Check company site 📌](http://www.omio.com/?utm_source=topstartups.io)

[View Jobs](",$100M,,"Berlin, Germany",500,http://www.omio.com/,,,,topstartups.io,
ResearchGate,"ResearchGate provides a professional network for the scientific community to connect with each other to share and discuss research.


EdTechCommunity Professional Network

**Quick facts:**

📍HQ: Berlin, Germany


201-500 employeesFounded: 2008

**Funding:**

BenchmarkFounders Fund$88M Series D in 2017

**Take action:**

[See who works here 🤝](https://linkedin.com/company/researchgate)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/ResearchGate-Reviews-E526840.htm)

[Check company site 📌](ht",$88M,,"Berlin, Germany",500,http://researchgate.net/,,,,topstartups.io,
Xentral,"Xentral develops ERP and CRM software solutions for enterprises.


Enterprise Software

**Quick facts:**

📍HQ: Augsburg, Germany


101-200 employeesFounded: 2015

**Funding:**

Sequoia$75M Series B in 2021

**Take action:**

[See who works here 🤝](https://linkedin.com/company/xentralsoftware)

[Check company site 📌](http://xentral.biz/?utm_source=topstartups.io)

[View Jobs](https://jobs.eu.lever.co/xentral?utm_source=topstartups.io)",$75M,Enterprise Software,"Augsburg, Germany",200,http://xentral.biz/,,,,topstartups.io,
Omnea,"Building procurement orchestration platform that streamlines source-to-pay workflows


Artificial Intelligence Enterprise Software

**Quick facts:**

📍HQ: London, England, United Kingdom


101-200 employeesFounded: 2022

**Funding:**

Accel Khosla Ventures Insight Partners$50M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/omnea)

[Check company site 📌](https://www.omnea.co/?utm_source=topstartups.io)

[View Jobs](https://www.omnea.co/careers?utm_sour",$50M,"Enterprise Software, Artificial Intelligence","London, England, United Kingdom",200,https://www.omnea.co/,,,,topstartups.io,
Adaptive Security,"Protecting companies from AI-powered attacks


Artificial Intelligence Cybersecurity Enterprise Software

**Quick facts:**

📍HQ: New York, New York, USA


101-200 employeesFounded: 2024

**Funding:**

Andreessen Horowitz OpenAI NVIDIA Bain Capital Ventures$81M Series B in 2025

**Founders:**

3x Founders, previously Attentive ($7B) and TapCommerce (acq by Twitter)


**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/adaptivesecurity)

[Check company site 📌](https://www.ada",$81M,"Cybersecurity, Enterprise Software, Artificial Intelligence","New York, New York, USA",200,https://www.adaptivesecurity.com/,,,,topstartups.io,
Harmonic,"Building mathematical superintelligence


Artificial Intelligence

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2023

**Funding:**

Sequoia Kleiner Perkins$100M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/harmonicmath)

[Check company site 📌](https://harmonic.fun/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/Harmonic?utm_source=topstartups.io)

[![XBOW startup company logo](https://ima",$100M,Artificial Intelligence,"San Francisco Bay Area, California, USA",50,https://harmonic.fun/,,,,topstartups.io,
XBOW,"Using AI to revolutionize how we approach offensive security


Artificial Intelligence Cybersecurity

**Quick facts:**

📍HQ: Remote


11-50 employeesFounded: 2024

**Funding:**

Sequoia$75M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/xbow)

[Check company site 📌](https://xbow.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/xbowcareers?utm_source=topstartups.io)

[![NewLimit startup company logo](https://images.crunchbase.com/i",$75M,"Cybersecurity, Artificial Intelligence",Remote,50,https://xbow.com/,,,,topstartups.io,
NewLimit,"Developing epigenetic therapies to extend human healthspan by reprogramming aging cells


Biotech Healthcare

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2022

**Funding:**

Founders Fund$130M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/newlimit)

[Check company site 📌](https://www.newlimit.com/?utm_source=topstartups.io)

[View Jobs](https://job-boards.greenhouse.io/newlimit/?utm_source=topstartups.io)
",$130M,"Biotech, Healthcare","San Francisco Bay Area, California, USA",50,https://www.newlimit.com/,,,,topstartups.io,
Base Power,"Specializes in residential backup battery systems and electricity plans


Hardware

**Quick facts:**

📍HQ: Austin, Texas, USA


101-200 employeesFounded: 2023

**Funding:**

Andreessen Horowitz$200M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/basepowercompany)

[Check company site 📌](https://www.basepowercompany.com/?utm_source=topstartups.io)

[View Jobs](https://job-boards.greenhouse.io/basepowercompany?utm_source=topstartups.io)

[![Sprinter Hea",$200M,,"Austin, Texas, USA",200,https://www.basepowercompany.com/,,,,topstartups.io,
Sprinter Health,"Sprinter Health sends full-time nurses into the home to perform lab draws and check vitals


HealthcareMedical

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2021

**Funding:**

Andreessen Horowitz Accel$32M Series B in 2025

**Take action:**

[See who works here 🤝](https://linkedin.com/company/sprinter-health)

[Check company site 📌](http://www.sprinterhealth.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.lever.co/SprinterHealth?utm_source=t",$32M,Healthcare,"San Francisco Bay Area, California, USA",50,http://www.sprinterhealth.com/,,,,topstartups.io,
Graphite,"AI code review platform which helps developers create, review and merge changes faster.


Artificial Intelligence SaaS Enterprise Software

**Quick facts:**

📍HQ: New York, New York, USA


11-50 employeesFounded: 2021

**Funding:**

Andreessen Horowitz Accel$52M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/withgraphite)

[Check company site 📌](https://graphite.dev/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/graphite/?utm_source",$52M,"Enterprise Software, Artificial Intelligence, SaaS","New York, New York, USA",50,https://graphite.dev/,,,,topstartups.io,
Camber,"Streamlines healthcare payments, easing administrative headaches for clinics and families


Healthcare FinTech

**Quick facts:**

📍HQ: New York, New York, USA


51-100 employeesFounded: 2021

**Funding:**

Andreessen Horowitz Y Combinator$30M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/camberhealth/)

[Check company site 📌](https://www.camber.health/?utm_source=topstartups.io)

[View Jobs](https://jobs.lever.co/camber?utm_source=topstartups.io)

[!",$30M,"FinTech, Healthcare","New York, New York, USA",100,https://www.camber.health/,,,,topstartups.io,
Clay,"Data enrichment solutions and personalized outreach automation


Artificial Intelligence SaaS Enterprise Software

**Quick facts:**

📍HQ: New York, New York, USA


11-50 employeesFounded: 2016

**Funding:**

Sequoia$40M Series B in 2025$1.3B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/clay-hq)

[Check company site 📌](https://www.clay.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/claylabs?utm_source=topstartups.io)

[![Graphiant sta",$40M,"Enterprise Software, Artificial Intelligence, SaaS","New York, New York, USA",50,https://www.clay.com/,,,,topstartups.io,
Graphiant,"Graphiant is working on next-generation networking technologies.


Networking

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


51-100 employeesFounded: 2020

**Funding:**

Sequoia$19M Series B in 2025

**Take action:**

[See who works here 🤝](https://linkedin.com/company/graphiant)

[Check company site 📌](http://www.graphiant.com/?utm_source=topstartups.io)

[View Jobs](https://graphiant.bamboohr.com/jobs/?utm_source=topstartups.io)

[![Bounce startup company logo](https://image",$19M,,"San Francisco Bay Area, California, USA",100,http://www.graphiant.com/,,,,topstartups.io,
Bounce,"Provide luggage storage for travelers and tourists in cities across the world


Marketplaces Consumer Travel

**Quick facts:**

📍HQ: Remote


101-200 employeesFounded: 2018

**Funding:**

Andreessen Horowitz$19M Series B in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/bounceyourstuff/)

[Check company site 📌](https://bounce.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/Bounce?utm_source=topstartups.io)

[![Nooks startup company logo](htt",$19M,,Remote,200,https://bounce.com/,,,,topstartups.io,
Nooks,"AI dialing and prospecting platform, trusted by thousands of SDRs & AEs to cut out the busywork


Artificial Intelligence Sales

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


51-100 employeesFounded: 2020

**Funding:**

Kleiner Perkins$43M Series B in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/nooksapp)

[Check company site 📌](https://www.nooks.ai/?utm_source=topstartups.io)

[View Jobs](https://nooks.breezy.hr/?utm_source=topstartups.io)

",$43M,Artificial Intelligence,"San Francisco Bay Area, California, USA",100,https://www.nooks.ai/,,,,topstartups.io,
Socket,"Socket is a developer-first security platform that protects your most critical apps from software supply chain attacks


SaaS Cybersecurity

**Quick facts:**

📍HQ: Remote


11-50 employeesFounded: 2020

**Funding:**

Andreessen Horowitz$40M Series B in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/socketinc/)

[Check company site 📌](https://socket.dev/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/socket?utm_source=topstartups.io)

[![Decagon ",$40M,"Cybersecurity, SaaS",Remote,50,https://socket.dev/,,,,topstartups.io,
Decagon,"Develops AI support agents for enterprise


Artificial Intelligence Enterprise Software

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2023

**Funding:**

Andreessen Horowitz Accel$65M Series B in 2024

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/decagon-ai/)

[Check company site 📌](https://decagon.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/decagon?utm_source=topstartups.io)

[![Atlys  startup comp",$65M,"Enterprise Software, Artificial Intelligence","San Francisco Bay Area, California, USA",50,https://decagon.ai/,,,,topstartups.io,
